		MTGALPHA - SCRYE #5

		CARD NAME	COLOR	TYPE	RARITY	HIGH	MEDIAN		LOW
A	166	Mountain Blue	R	L	C	0.50	0.20	ê	0.20
A	167	Mountain Brown	R	L	C	0.50	0.20	ê	0.20
A	168	Mox Emerald	A	M	R	77.50	70.00	ê	60.00
A	169	Mox Jet	A	M	R	77.50	75.00	 	72.00
A	170	Mox Pearl	A	M	R	77.50	75.00	 	70.00
A	171	Mox Ruby	A	M	R	77.50	75.00	 	70.00
A	172	Mox Sapphire	A	M	R	77.50	75.00	 	70.00
A	173	Natural Selection	G	Ins	R	37.50	30.00	ê	20.00
A	174	Nether Shadow	B	Sum	R	10.00	9.50	ê	6.80
A	175	Nettling Imp	B	Sum	U	4.50	3.00	ê	2.50
A	176	Nevinyrral's Disk	A	M	R	11.75	11.00	 	8.80
A	177	Nightmare	B	Sum	R	22.25	20.00	ê	20.00
A	178	Northern Paladin	W	Sum	R	19.50	17.50	ê	16.25
A	179	Obsianus Golem	A	ACr	U	3.80	3.00	ê	3.00
A	180	Orcish Artillery	R	Sum	U	10.00	6.00	é	3.50
A	181	Orcish Oriflamme	R	E	U	15.00	15.00	é	8.00
A	182	Paralyze	B	ECr	C	1.10	1.00	é	0.50
A	183	Pearled Unicorn	W	Sum	C	1.10	1.00	é	0.50
A	184	Personal Incarnation	W	Sum	R	15.75	14.50	ê	12.50
A	185	Pestilence	B	E	C	1.10	1.00	é	0.50
A	186	Phantasmal Forces	U	Sum	U	4.00	4.00	é	3.00
A	187	Phantasmal Terrain	U	Sum	C	1.10	1.00	é	0.50
A	188	Phantom Monster	U	Sum	U	3.50	3.00	 	2.50
A	189	Pirate Ship	U	Sum	R	11.50	10.00	ê	6.80
A	190	Plague Rats	B	Sum	C	1.10	1.00	 	0.90
A	191	Plains No Trees	W	L	C	0.50	0.20	ê	0.20
A	192	Plains Trees	W	L	C	0.40	0.20	ê	0.20
A	193	Plateau	R/W	DL	R	14.50	13.00	 	12.25
A	194	Power Leak	U	EE	C	1.10	1.00	é	0.50
A	195	Power Sink	U	Int	C	1.10	1.00	é	0.50
A	196	Power Surge	R	E	R	12.00	12.00	 	6.50
A	197	Prodigal Sorcerer	U	Sum	C	1.60	1.00	 	1.00
A	198	Psionic Blast	U	Ins	U	7.90	6.00	ê	6.00
A	199	Psychic Venom	U	EL	C	1.60	1.00	 	0.90
A	200	Purelace	W	Int	R	8.50	5.00	ê	4.00
A	201	Raging River	R	E	R	41.25	40.00	ê	33.75
A	202	Raise Dead	B	Sor	C	1.10	1.00	é	0.50
A	203	Red Elemental Blast	R	Ins	C	1.50	1.00	é	0.50
A	204	Red Ward	W	ECr	U	2.30	2.00	ê	2.00
A	205	Regeneration	G	ECr	C	1.10	1.00	é	0.50
A	206	Regrowth	G	Sor	U	3.00	3.00	 	2.30
A	207	Resurrection	W	Sor	U	3.00	3.00	 	2.30
A	208	Reverse Damage	W	Ins	R	13.75	12.00	ê	8.80
A	209	Righteousness	W	Ins	R	12.00	10.50	ê	8.30
A	210	Roc of Kher Ridges	R	Sum	R	10.00	9.50	ê	8.30
A	211	Rock Hydra	R	Sum	R	19.50	18.00	 	15.50
A	212	Rod of Ruin	A	M	U	3.80	3.00	ê	3.00
A	213	Royal Assassin	B	Sum	R	24.00	22.00	ê	20.50
A	214	Sacrifice	B	Int	U	3.00	2.00	ê	2.00
A	215	Samite Healer	W	Sum	C	1.00	1.00	é	0.50
A	216	Savannah	G/W	DL	R	14.50	13.00	 	12.25
A	217	Savannah Lions	W	Sum	R	10.00	9.00	ê	6.50
A	218	Scathe Zombies	B	Sum	C	1.10	1.00	é	0.50
A	219	Scavenging Ghoul	B	Sum	U	4.00	3.50	 	2.30
A	220	Scrubland	B/W	DL	R	14.25	12.00	ê	12.00
A	221	Scryb Sprites	G	Sum	C	1.10	1.00	é	0.50
A	222	Sea Serpent	U	Sum	C	1.10	1.00	é	0.50
A	223	Sedge Troll	R	Sum	R	15.00	13.00	 	8.50
A	224	Sengir Vampire	B	Sum	U	7.00	6.50	ê	5.30
A	225	Serra Angel	W	Sum	U	11.75	10.50	ê	8.50
A	226	Shanodin Dryads	G	Sum	C	1.10	1.00	é	0.50
A	227	Shatter	R	Ins	C	1.30	1.00	é	0.50
A	228	Shivan Dragon	R	Sum	R	37.50	29.00	ê	25.75
A	229	Simulacrum	B	Ins	U	3.00	2.50	ê	2.00
A	230	Sinkhole	B	Sor	C	7.90	7.00	é	5.30
A	231	Siren's Call	U	Ins	U	3.00	2.50	ê	2.00
A	232	Sleight of Mind	U	Int	R	11.75	10.50	ê	9.30
A	233	Smoke	R	E	R	10.75	9.00	ê	5.80
A	234	Sol Ring	A	M	U	5.50	4.00	ê	4.00
A	235	Soul Net	A	P	U	4.00	4.00	é	3.00
A	236	Spell Blast	U	Int	C	1.50	1.00	é	0.90
A	237	Stasis	U	E	R	10.00	9.50	 	8.00
A	238	Steal Artifact	U	EArt	U	3.50	3.00	ê	2.80
A	239	Stone Giant	R	Sum	U	3.00	2.50	ê	2.00
A	240	Stone Rain	R	Sor	C	1.60	1.00	 	0.90
A	241	Stream of Life	G	Sor	C	1.00	1.00	é	0.80
A	242	Sunglasses of Urza	A	C	R	11.75	9.80	ê	9.00
A	243	Swamp High Branch	B	L	C	0.40	0.20	ê	0.20
A	244	Swamp Low Branch	B	L	C	0.40	0.20	ê	0.20
A	245	Swords to Plowshares	W	Ins	U	3.80	3.00	ê	2.60
A	246	Taiga	G/R	DL	R	14.50	12.50	 	12.00
A	247	Terror	B	Ins	C	1.60	1.00	é	0.60
A	248	The Hive	A	M	R	12.25	10.00	ê	8.50
A	249	Thicket Basilisk	G	Sum	U	5.80	4.50	é	4.00
A	250	Thoughtlace	U	Int	R	10.00	5.00	ê	4.00
A	251	Throne of Bone	A	P	U	3.00	2.50	ê	2.00
A	252	Timber Wolves	G	Sum	R	11.00	10.00	ê	7.00
A	253	Time Vault	A	M	R	60.00	52.50	é	40.00
A	254	Time Walk	U	Sor	R	60.00	55.00	 	40.00
A	255	Timetwister	U	Sor	R	60.00	50.00	ê	40.00
A	256	Tranquility	G	Sor	C	1.10	1.00	é	0.50
A	257	Tropical Island	B/G	DL	R	15.00	13.00	 	12.00
A	258	Tsunami	G	Sor	U	4.00	3.50	é	2.30
A	259	Tundra	U/W	DL	R	14.50	12.50	 	12.00
A	260	Tunnel	R	Ins	U	3.50	3.00	 	2.00
A	261	Twiddle	U	Ins	C	9.00	8.00	é	5.80
A	262	Two-Headed Giant 	R	Sum	R	47.50	35.00	ê	25.50
A	263	Underground Sea	B/U	DL	R	14.25	12.00	ê	12.00
A	264	Unholy Strength	B	ECr	C	1.30	1.00	é	0.50
A	265	Unsummon	U	Ins	C	2.00	1.00	 	1.00
A	266	Uthden Troll	R	Sum	U	4.80	4.00	é	3.30
A	267	Verduran Enchantress	G	Sum	R	12.25	11.50	ê	8.50
A	268	Vesuvan Doppelganger	U	Sum	R	20.00	20.00	é	17.50
A	269	Veteran Bodyguard	W	Sum	R	15.50	15.00	é	12.50
A	270	Volcanic Eruption	U	Sor	R	13.50	10.00	ê	8.50
A	271	Wall of Air	U	Sum	U	3.40	3.00	ê	2.30
A	272	Wall of Bone	B	Sum	U	3.00	3.00	ê	2.00
A	273	Wall of Brambles	G	Sum	U	3.00	3.00	 	2.30
A	274	Wall of Fire	R	Sum	U	3.00	3.00	 	2.00
A	275	Wall of Ice	G	Sum	U	3.00	3.00	 	2.00
A	276	Wall of Stone	R	Sum	U	3.00	3.00	 	2.60
A	277	Wall of Swords	W	Sum	U	4.00	4.00	ê	4.00
A	278	Wall of Water	U	Sum	U	3.40	3.00	 	3.00
A	279	Wall of Wood	G	Sum	C	1.40	1.00	é	0.60
A	280	Wanderlust	G	ECr	U	3.00	2.50	ê	2.00
A	281	War Mammoth	G	Sum	C	1.30	1.00	é	0.50
A	282	Warp Artifact	B	EArt	R	10.00	5.00	ê	5.00
A	283	Water Elemental	U	Sum	U	3.00	3.00	ê	3.00
A	284	Weakness	B	ECr	C	1.30	1.00	é	0.50
A	285	Web	G	ECr	R	11.75	10.50	ê	7.80
A	286	Wheel of Fortune	R	Sor	R	11.00	11.00	ê	10.25
A	287	White Knight	W	Sum	U	5.00	4.00	ê	4.00
A	288	White Ward	W	ECr	U	2.00	2.00	ê	2.00
A	289	Wild Growth	G	EL	C	1.30	1.00	é	0.50
A	290	Will-O-The-Wisp	B	Sum	R	15.00	13.00	ê	12.00
A	291	Winter Orb	A	C	R	11.00	11.00	 	8.00
A	292	Wooden Sphere	A	P	U	3.00	2.50	ê	2.00
A	293	Word of Command	B	Ins	R	50.00	45.00	ê	40.00
A	294	Wrath of God	W	Sor	R	13.00	12.00	ê	11.00
A	295	Zombie Master	B	Sum	R	15.00	13.00	ê	12.00
 	 	TOTAL	 	 	 	3241.80	2824.75		2339.40
