 	 	ARABIAN NIGHTS - SCRYE #5

 	 	CARD NAME	COLOR	TYPE	RARITY	HIGH	MEDIAN		LOW
N	356	Mijae Djinn  	R	Sum	U	8.50	6.50	ê	4.50
N	357A	Moorish Cavalry (a) 	W	Sum	C	4.30	2.80	é	1.90
N	357B	Moorish Cavalry (b) 	W	Sum	C	4.00	2.30	é	1.40
N	358	Mountain  	Be	L	U	5.00	3.30	ê	3.00
N	359A	Nafs Asp (a) 	G	Sum	C	2.30	1.80	é	1.00
N	359B	Nafs Asp  (b)	G	Sum	C	2.00	1.50	é	1.00
N	360	Oasis  	Be	L	U	8.00	7.00	é	4.80
N	361	Old Man of the Sea  	U	Sum	U	25.75	22.50	é	15.00
N	362A	Oubliette (a)	B	E	C	5.00	4.00	 	3.00
N	362B	Oubliette (b) 	B	E	C	4.00	3.80	é	1.80
N	363A	Piety  (a)	W	Ins	C	2.90	2.00	é	1.00
N	363B	Piety (b)	W	Ins	C	2.60	2.00	é	1.00
N	364	Pyramids 	A	P	U	20.00	15.00	é	11.00
N	365	Repentant Blacksmith 	W	Sum	U	10.00	7.50	ê	5.90
N	366	Ring of Ma'ruf  	A	M	U	15.00	12.00	é	7.50
N	367A	Rukh Egg (a)	R	Sum	C	6.00	5.00	é	3.00
N	367B	Rukh Egg (b)	R	Sum	C	6.00	4.50	é	3.00
N	368	Sandals of Abdallah  	A	M	U	8.00	6.00	 	5.00
N	369	Sandstorm  	G	Ins	C	3.00	2.00	 	1.00
N	370	Serendib Djinn 	U	Sum	U	10.00	8.80	é	7.00
N	371	Serendib Efreet  	U	Sum	U	10.00	9.00	é	5.00
N	372	Shahrazad 	W	Sor	U	15.00	10.00	 	7.30
N	373	Sindbad 	U	Sum	U	9.00	6.00	 	4.00
N	374	Singing Tree 	G	Sum	U	30.00	17.50	é	14.25
N	375	Sorceress Queen 	B	Sum	U	9.50	8.00	é	5.80
N	376A	Stone-Throwing Devils (a)	B	Sum	C	3.10	2.00	 	1.90
N	376B	Stone-Throwing Devils (b)	B	Sum	C	3.00	2.00	 	1.40
N	377	Unstable Mutation 	U	ECr	C	2.00	1.00	 	0.90
N	378A	War Elephant (a)	W	Sum	C	4.50	3.50	é	2.30
N	378B	War Elephant (b) 	W	Sum	C	4.00	3.00	é	2.00
N	379A	Wyluli Wolf (a)	G	Sum	C	4.00	3.30	é	2.00
N	379B	Wyluli Wolf (b)	G	Sum	C	4.00	2.80	é	2.00
N	380	Ydwen Efreet	R	Sum	U	10.00	8.00	 	6.50
 	 	TOTAL	 	 	 	811.00	614.20	 	432.85
